Construção	25 de janeiro de 1934
Lançamento	15 de junho de 1935
Comissionamento	7 de janeiro de 1939
Fatalidade	26 de dezembro de 1943
Características gerais
Classe	Scharnhorst
Deslocamento	31 552 t (standard)
38 900 t (plena carga)
Comprimento	235 metros
Boca	30 metros
Calado	9,93 metros
Propulsão	161 164 shp (120.18 MW) = 33 kt
12 caldeiras Modelo Wagner (2 Hélices)
Velocidade	32 nós
Autonomia	7 100 mn
Armamento	9 canhões de 280 mm
12 canhões de 150 mm
14 canhões de 105 mm AA
38 canhões de 20 mm AA
6 tubos lança-torpedos de 533 mm
1 catapulta
Aeronaves	4 hidroaviões Arado Ar 196A-3
Tripulação	1 968 tripulantes
