Porta Avioes
Operador	Marinha Real Britânica
Fabricante	Harland and Wolff, Belfast,  Irlanda do Norte
Homônimo	Unicórnio
Data de encomenda	14 de abril de 1939
Batimento de quilha	26 de junho de 1939
Lançamento	20 de novembro de 1941 (72 anos)
Descomissionamento	17 de novembro de 1953
Número do casco	I72
Estado	Desmanchado
Fatalidade	15 de junho de 1959
Características gerais
Tipo de navio	Navio aeródromo leve de escolta e manutenção
Deslocamento	16 770 t (37 000 000 lb) padrão
20 600 t (45 400 000 lb) carga total
Custo	£ 2.531.000,00
Comprimento	195,1 m (640 ft)
Boca	27,51 m (90,3 ft)
Calado	7 m (23,0 ft) com carga total
Propulsão	2 x hélices
2 x turbinas a vapor Parsons
4 x caldeiras
Velocidade	24 kn (44,5 km/h) (24 kn (27,6 mph))
Autonomia	7 000 m.n. (13 000 km) à 13,5 kn (25,0 km/h)
Blindagem	Cinta couraçada: 100 mm (3,94 in)1
Convés de voo: 51 mm (2,01 in)
Paiol: 76 mm (2,99 in)
Anteparas: 38 mm (1,50 in)
Armamento	4 x 2 canhão QF 4 inch Mk XVI de 4 in (102 mm)
4 x 4 canhões anti-aéreos QF 2-pounder de 40 in (1 020 mm)
2 x 2, 8 x 1 canhões anti-aéreos Oerlikon 20 mm (0,787 in)
Sensores	1x Radar de aviso antecipado Type 281B
2x Radar de aquisição Type 285
Aeronaves	33
Tripulação	1200 homens
